x,y,z
0.012996 ,  -0.133954 ,  1.038645
0.009997 ,  -0.130955 ,  1.042644
0.003999 ,  -0.130955 ,  1.046642
-0.004998 ,  -0.136953 ,  1.041644
-0.001000 ,  -0.133954 ,  1.042644
0.001999 ,  -0.132955 ,  1.045643
0.003999 ,  -0.123958 ,  1.032647
0.006998 ,  -0.128956 ,  1.041644
0.005998 ,  -0.130955 ,  1.041644
0.022992 ,  -0.130955 ,  1.022651
0.022992 ,  -0.131955 ,  1.036646
0.009997 ,  -0.128956 ,  1.041644
-0.007997 ,  -0.146950 ,  1.063637
-0.002999 ,  -0.137953 ,  1.041644
0.001999 ,  -0.136953 ,  1.040645
-0.019993 ,  -0.136953 ,  1.037646
0.001999 ,  -0.134954 ,  1.044643
0.003999 ,  -0.129956 ,  1.043643
0.009997 ,  -0.127956 ,  1.057639
0.018994 ,  -0.124957 ,  1.048642
0.011996 ,  -0.128956 ,  1.047642
0.010996 ,  -0.125957 ,  1.044643
0.005998 ,  -0.121958 ,  1.039645
0.004998 ,  -0.121958 ,  1.044643
0.005998 ,  -0.127956 ,  1.047642
0.015995 ,  -0.130955 ,  1.050641
0.006998 ,  -0.130955 ,  1.046642
0.004998 ,  -0.132955 ,  1.045643
0.003999 ,  -0.133954 ,  1.091627
0.004998 ,  -0.136953 ,  1.060638
0.007997 ,  -0.134954 ,  1.052640
0.011996 ,  -0.133954 ,  1.061637
0.006998 ,  -0.128956 ,  1.064636
0.003999 ,  -0.129956 ,  1.052640
0.003999 ,  -0.128956 ,  1.050641
0.000000 ,  -0.131955 ,  1.056639
0.005998 ,  -0.131955 ,  1.053640
0.001999 ,  -0.131955 ,  1.048642
0.011996 ,  -0.129956 ,  1.048642
0.007997 ,  -0.130955 ,  1.045643
0.006998 ,  -0.132955 ,  1.047642
0.019993 ,  -0.127956 ,  1.031647
-0.010996 ,  -0.129956 ,  1.037646
0.001000 ,  -0.128956 ,  1.038645
-0.020993 ,  -0.133954 ,  1.024650
-0.011996 ,  -0.132955 ,  1.024650
0.000000 ,  -0.128956 ,  1.038645
-0.009997 ,  -0.132955 ,  1.031647
0.004998 ,  -0.130955 ,  1.025650
0.003999 ,  -0.134954 ,  1.028649
0.003999 ,  -0.137953 ,  1.050641
0.009997 ,  -0.133954 ,  1.049641
0.007997 ,  -0.130955 ,  1.045643
0.004998 ,  -0.131955 ,  1.044643
0.006998 ,  -0.132955 ,  1.059638
0.002999 ,  -0.132955 ,  1.056639
0.001000 ,  -0.132955 ,  1.053640
0.033988 ,  -0.134954 ,  1.077632
0.016994 ,  -0.133954 ,  1.061637
0.004998 ,  -0.135954 ,  1.053640
0.003999 ,  -0.135954 ,  0.983664
0.004998 ,  -0.135954 ,  1.038645
0.003999 ,  -0.133954 ,  1.040645
-0.009997 ,  -0.136953 ,  1.026649
0.016994 ,  -0.133954 ,  1.041644
0.011996 ,  -0.132955 ,  1.043643
0.018994 ,  -0.130955 ,  1.075632
0.002999 ,  -0.140952 ,  1.030648
0.002999 ,  -0.132955 ,  1.039645
0.004998 ,  -0.130955 ,  1.044643
0.001000 ,  -0.139952 ,  1.031647
0.001000 ,  -0.135954 ,  1.032647
0.000000 ,  -0.134954 ,  1.040645
-0.017994 ,  -0.132955 ,  1.039645
0.005998 ,  -0.127956 ,  1.044643
0.005998 ,  -0.126957 ,  1.038645
